id,severity,status,area,summary,recommendation,owner,acceptance_criterion
AUD-R01,Medium,Open,TLS,"DevNet HydrantID chain is not trusted by system or bundled CA","Obtain the approved issuing chain for each deployment and configure VMANAGE_CA_BUNDLE; never normalize verify=false",Deployment owner,"Live smoke test passes with VMANAGE_VERIFY_SSL=true"
AUD-R02,Medium,Open,Scale,"No production-like load or soak environment was available","Run 1/10/25 concurrent read calls and a 30-60 minute soak under an approved request ceiling",Operations,"p95/error/auth/retry/resource budgets are agreed and pass"
AUD-R03,Medium,Open,Domain semantics,"Correlation thresholds and device-type assumptions lack formal SME sign-off","Review controller classification, >50% site scope, BFD/control missing values, CPU/memory thresholds, and alarm casing against supported releases",Cisco SD-WAN owner,"Signed truth table and golden fixtures cover each supported vManage version"
AUD-R04,Medium,Closed,Optional console,"Interactive app/provider adapters lacked a dedicated coverage gate","Added mocked Claude/OpenAI/Gemini tool cycles plus console boot/shell/renderer lifecycle tests",Engineering,"app.py and ai_providers.py each reached 80% branch coverage"
AUD-R05,Medium,Closed,CLI installer,"CLI and installer line coverage was below target","Added Click CliRunner tests and platform-path/merge/error installer tests",Engineering,"CLI reached 60% and installer reached 86% branch coverage"
AUD-R06,Low,Closed,Events,"Event device filtering downloaded the endpoint's full result set before local filtering","Implemented verified GET query rules for entry_time and system_ip, retaining local filtering as defense in depth",Engineering,"Server-filtered live event call passes with normalized output fields"
AUD-R07,Low,Closed,Models,"Pydantic helpers were undocumented and untested outside flat FastMCP signatures","Exported and documented them as optional public validation helpers with schema and boundary tests",Engineering,"Model package is a documented API with 100% coverage"
AUD-R08,Medium,Open,Privacy,"Cisco IDE SDK auto-collects hostname, IP, and MAC when enabled","Obtain privacy approval and document retention/access controls before deployment enables it",Privacy owner,"Approved data-flow record references SDK payload and destination"
AUD-R09,Low,Accepted,Telemetry,"Splunk telemetry uses daemon threads and may lose events at shutdown","Retain best-effort semantics or add a bounded flush queue if delivery becomes a requirement",Engineering,"Telemetry documentation continues to state best-effort behavior"
AUD-R10,Low,Open,Marketplace,"Manifest was not validated against an authenticated Cisco marketplace schema","Run the marketplace publisher/schema validator in an authenticated Cisco IDE session",Release owner,"Marketplace validator accepts mcp-marketplace.json"
