control,method,result,evidence
Tool inventory,"FastMCP list_tools plus unit contract",PASS,"21 unique tools"
Read-only annotations,"Runtime schema assertions",PASS,"All tools readOnlyHint=true and destructiveHint=false"
Public HTTP boundary,"Source references plus retrieval operation recorder",PASS,"GET/get_raw only; authentication POST isolated"
TLS default,"Client regression tests",PASS,"Default true; invalid values rejected"
Private CA,"SSLContext unit test and package content check",PASS,"VMANAGE_CA_BUNDLE supported"
Credential storage,"Installer filesystem/subprocess tests",PASS,"0600 file in 0700 directory; no secret in client argv/config"
Audit privacy,"Redaction/decorator tests",PASS,"No result content; secret variants redacted"
Decision safety,"Partial/empty health and pre-change tests",PASS,"UNKNOWN and NO-GO"
Client resilience,"Auth concurrency/retry/error tests",PASS,"Single handshake; Retry-After; typed errors"
Static lint,"ruff check src tests",PASS,"0 findings"
Static types,"pyright",PASS,"0 errors; 0 warnings"
Source security,"bandit -c pyproject.toml -r src",PASS,"0 findings after narrow fixed-argv justification"
Runtime dependencies,"pip-audit -r requirements.txt",PASS,"No known vulnerabilities"
Core coverage,"pytest --cov",PASS,"75.60% branch-aware; threshold 60%"
CLI coverage,"coverage report --include=*/cli.py",PASS,"60% branch-aware; threshold 60%"
Installer coverage,"coverage report --include=*/installer.py",PASS,"86% branch-aware; threshold 60%"
Interactive console coverage,"coverage report --include=*/app.py",PASS,"80% branch-aware; threshold 60%"
AI provider coverage,"coverage report --include=*/ai_providers.py",PASS,"80% branch-aware; threshold 60%"
Model API coverage,"coverage report --include=*/models/*.py",PASS,"100%; threshold 95%"
Package metadata,"python -m build and twine check",PASS,"sdist and wheel accepted"
Clean wheel,"Fresh venv import/entry-point/tool check",PASS,"4 entry points; 21 tools; CA asset"
MCP protocol,"Live initialize and tools/list",PASS,"Server version 1.1.0; 21 tools"
Live tool behavior,"Sanitized scripts/live_readonly_audit.py",PASS,"21 passed; 0 failed on DevNet"
Event query,"DevNet GET query and normalized tool output",PASS,"24-hour and system_ip rules applied server-side; live fields populated"
Verified live TLS,"Smoke test with system and bundled trust",BLOCKED,"HydrantID sandbox chain unavailable"
Scale/soak,"Production-like staging run",NOT RUN,"No approved staging environment supplied"
External AI/telemetry,"Local fakes and SDK inspection",PARTIAL,"No real customer data transmitted"
Marketplace schema,"JSON parse",PARTIAL,"Enterprise schema search required interactive SSO"
